buffer_df;buffer_df2
1;102521
1;102522
1;102983
1;102984
1;102985
1;102986
1;102987
1;102988
1;102989
1;102990
1;102991
1;102992
1;102993
1;102994
1;102995
1;102996
1;103449
1;103450
1;103451
1;103452
1;103453
1;103454
1;103455
1;103456
1;103457
1;103458
1;103459
1;103460
1;103461
1;103462
1;103463
1;103464
1;103465
1;103466
1;103467
1;103915
1;103916
1;103917
1;103918
1;103919
1;103920
1;103921
1;103922
1;103923
1;103924
1;103925
1;103926
1;103927
1;103928
1;103929
1;103930
1;103931
1;103932
1;103933
1;103934
1;103935
1;103936
1;103937
1;103938
1;103939
1;103940
1;103941
1;104381
1;104382
1;104383
1;104384
1;104385
1;104386
1;104387
1;104388
1;104389
1;104390
1;104391
1;104392
1;104393
1;104394
1;104395
1;104396
1;104397
1;104398
1;104399
1;104400
1;104401
1;104402
1;104403
1;104404
1;104405
1;104406
1;104407
1;104408
1;104409
1;104410
1;104411
1;104848
1;104849
1;104850
1;104851
1;104852
1;104853
1;104854
1;104855
1;104856
1;104857
1;104858
1;104859
1;104860
1;104861
1;104862
1;104863
1;104864
1;104865
1;104866
1;104867
1;104868
1;104869
1;104870
1;104871
1;104872
1;104873
1;104874
1;104875
1;104876
1;104877
1;104878
1;104879
1;104880
1;104881
1;105315
1;105316
1;105317
1;105318
1;105319
1;105320
1;105321
1;105322
1;105323
1;105324
1;105325
1;105326
1;105327
1;105328
1;105329
1;105330
1;105331
1;105332
1;105333
1;105334
1;105335
1;105336
1;105337
1;105338
1;105339
1;105340
1;105341
1;105342
1;105343
1;105344
1;105345
1;105346
1;105347
1;105348
1;105349
1;105350
1;105351
1;105782
1;105783
1;105784
1;105785
1;105786
1;105787
1;105788
1;105789
1;105790
1;105791
1;105792
1;105793
1;105794
1;105795
1;105796
1;105797
1;105798
1;105799
1;105800
1;105801
1;105802
1;105803
1;105804
1;105805
1;105806
1;105807
1;105808
1;105809
1;105810
1;105811
1;105812
1;105813
1;105814
1;105815
1;105816
1;105817
1;105818
1;105819
1;105820
1;106249
1;106250
1;106251
1;106252
1;106253
1;106254
1;106255
1;106256
1;106257
1;106258
1;106259
1;106260
1;106261
1;106262
1;106263
1;106264
1;106265
1;106266
1;106267
1;106268
1;106269
1;106270
1;106271
1;106272
1;106273
1;106274
1;106275
1;106276
1;106277
1;106278
1;106279
1;106280
1;106281
1;106282
1;106283
1;106284
1;106285
1;106286
1;106287
1;106288
1;106289
1;106716
1;106717
1;106718
1;106719
1;106720
1;106721
1;106722
1;106723
1;106724
1;106725
1;106726
1;106727
1;106728
1;106729
1;106730
1;106731
1;106732
1;106733
1;106734
1;106735
1;106736
1;106737
1;106738
1;106739
1;106740
1;106741
1;106742
1;106743
1;106744
1;106745
1;106746
1;106747
1;106748
1;106749
1;106750
1;106751
1;106752
1;106753
1;106754
1;106755
1;106756
1;106757
1;106758
1;107184
1;107185
1;107186
1;107187
1;107188
1;107189
1;107190
1;107191
1;107192
1;107193
1;107194
1;107195
1;107196
1;107197
1;107198
1;107199
1;107200
1;107201
1;107202
1;107203
1;107204
1;107205
1;107206
1;107207
1;107208
1;107209
1;107210
1;107211
1;107212
1;107213
1;107214
1;107215
1;107216
1;107217
1;107218
1;107219
1;107220
1;107221
1;107222
1;107223
1;107224
1;107225
1;107226
1;107227
1;107651
1;107652
1;107653
1;107654
1;107655
1;107656
1;107657
1;107658
1;107659
1;107660
1;107661
1;107662
1;107663
1;107664
1;107665
1;107666
1;107667
1;107668
1;107669
1;107670
1;107671
1;107672
1;107673
1;107674
1;107675
1;107676
1;107677
1;107678
1;107679
1;107680
1;107681
1;107682
1;107683
1;107684
1;107685
1;107686
1;107687
1;107688
1;107689
1;107690
1;107691
1;107692
1;107693
1;107694
1;107695
1;108119
1;108120
1;108121
1;108122
1;108123
1;108124
1;108125
1;108126
1;108127
1;108128
1;108129
1;108130
1;108131
1;108132
1;108133
1;108134
1;108135
1;108136
1;108137
1;108138
1;108139
1;108140
1;108141
1;108142
1;108143
1;108144
1;108145
1;108146
1;108147
1;108148
1;108149
1;108150
1;108151
1;108152
1;108153
1;108154
1;108155
1;108156
1;108157
1;108158
1;108159
1;108160
1;108161
1;108162
1;108163
1;108164
1;108586
1;108587
1;108588
1;108589
1;108590
1;108591
1;108592
1;108593
1;108594
1;108595
1;108596
1;108597
1;108598
1;108599
1;108600
1;108601
1;108602
1;108603
1;108604
1;108605
1;108606
1;108607
1;108608
1;108609
1;108610
1;108611
1;108612
1;108613
1;108614
1;108615
1;108616
1;108617
1;108618
1;108619
1;108620
1;108621
1;108622
1;108623
1;108624
1;108625
1;108626
1;108627
1;108628
1;108629
1;108630
1;108631
1;108632
1;109054
1;109055
1;109056
1;109057
1;109058
1;109059
1;109060
1;109061
1;109062
1;109063
1;109064
1;109065
1;109066
1;109067
1;109068
1;109069
1;109070
1;109071
1;109072
1;109073
1;109074
1;109075
1;109076
1;109077
1;109078
1;109079
1;109080
1;109081
1;109082
1;109083
1;109084
1;109085
1;109086
1;109087
1;109088
1;109089
1;109090
1;109091
1;109092
1;109093
1;109094
1;109095
1;109096
1;109097
1;109098
1;109099
1;109100
1;109101
1;109521
1;109522
1;109523
1;109524
1;109525
1;109526
1;109527
1;109528
1;109529
1;109530
1;109531
1;109532
1;109533
1;109534
1;109535
1;109536
1;109537
1;109538
1;109539
1;109540
1;109541
1;109542
1;109543
1;109544
1;109545
1;109546
1;109547
1;109548
1;109549
1;109550
1;109551
1;109552
1;109553
1;109554
1;109555
1;109556
1;109557
1;109558
1;109559
1;109560
1;109561
1;109562
1;109563
1;109564
1;109565
1;109566
1;109567
1;109568
1;109569
1;109989
1;109990
1;109991
1;109992
1;109993
1;109994
1;109995
1;109996
1;109997
1;109998
1;109999
1;110000
1;110001
1;110002
1;110003
1;110004
1;110005
1;110006
1;110007
1;110008
1;110009
1;110010
1;110011
1;110012
1;110013
1;110014
1;110015
1;110016
1;110017
1;110018
1;110019
1;110020
1;110021
1;110022
1;110023
1;110024
1;110025
1;110026
1;110027
1;110028
1;110029
1;110030
1;110031
1;110032
1;110033
1;110034
1;110035
1;110036
1;110037
1;110038
1;110457
1;110458
1;110459
1;110460
1;110461
1;110462
1;110463
1;110464
1;110465
1;110466
1;110467
1;110468
1;110469
1;110470
1;110471
1;110472
1;110473
1;110474
1;110475
1;110476
1;110477
1;110478
1;110479
1;110480
1;110481
1;110482
1;110483
1;110484
1;110485
1;110486
1;110487
1;110488
1;110489
1;110490
1;110491
1;110492
1;110493
1;110494
1;110495
1;110496
1;110497
1;110498
1;110499
1;110500
1;110501
1;110502
1;110503
1;110504
1;110505
1;110506
1;110925
1;110926
1;110927
1;110928
1;110929
1;110930
1;110931
1;110932
1;110933
1;110934
1;110935
1;110936
1;110937
1;110938
1;110939
1;110940
1;110941
1;110942
1;110943
1;110944
1;110945
1;110946
1;110947
1;110948
1;110949
1;110950
1;110951
1;110952
1;110953
1;110954
1;110955
1;110956
1;110957
1;110958
1;110959
1;110960
1;110961
1;110962
1;110963
1;110964
1;110965
1;110966
1;110967
1;110968
1;110969
1;110970
1;110971
1;110972
1;110973
1;110974
1;111393
1;111394
1;111395
1;111396
1;111397
1;111398
1;111399
1;111400
1;111401
1;111402
1;111403
1;111404
1;111405
1;111406
1;111407
1;111408
1;111409
1;111410
1;111411
1;111412
1;111413
1;111414
1;111415
1;111416
1;111417
1;111418
1;111419
1;111420
1;111421
1;111422
1;111423
1;111424
1;111425
1;111426
1;111427
1;111428
1;111429
1;111430
1;111431
1;111432
1;111433
1;111434
1;111435
1;111436
1;111437
1;111438
1;111439
1;111440
1;111441
1;111442
1;111861
1;111862
1;111863
1;111864
1;111865
1;111866
1;111867
1;111868
1;111869
1;111870
1;111871
1;111872
1;111873
1;111874
1;111875
1;111876
1;111877
1;111878
1;111879
1;111880
1;111883
1;111884
1;111885
1;111886
1;111887
1;111888
1;111889
1;111890
1;111891
1;111892
1;111893
1;111894
1;111895
1;111896
1;111897
1;111898
1;111899
1;111900
1;111901
1;111902
1;111903
1;111904
1;111905
1;111906
1;111907
1;111908
1;111909
1;111910
1;112328
1;112329
1;112330
1;112331
1;112332
1;112333
1;112334
1;112335
1;112336
1;112337
1;112338
1;112339
1;112340
1;112341
1;112342
1;112343
1;112344
1;112345
1;112346
1;112347
1;112352
1;112353
1;112354
1;112355
1;112356
1;112357
1;112358
1;112359
1;112360
1;112361
1;112362
1;112363
1;112364
1;112365
1;112366
1;112367
1;112368
1;112369
1;112370
1;112371
1;112372
1;112373
1;112374
1;112375
1;112376
1;112377
1;112378
1;112796
1;112797
1;112798
1;112799
1;112800
1;112801
1;112802
1;112803
1;112804
1;112805
1;112806
1;112807
1;112808
1;112809
1;112810
1;112811
1;112812
1;112813
1;112814
1;112815
1;112822
1;112823
1;112824
1;112828
1;112829
1;112830
1;112831
1;112832
1;112833
1;112834
1;112835
1;112836
1;112837
1;112838
1;112839
1;112840
1;112841
1;112842
1;112843
1;112844
1;112845
1;112846
1;112847
1;113264
1;113265
1;113266
1;113267
1;113268
1;113269
1;113270
1;113271
1;113272
1;113273
1;113274
1;113275
1;113276
1;113277
1;113278
1;113279
1;113280
1;113281
1;113282
1;113283
1;113296
1;113297
1;113298
1;113299
1;113300
1;113301
1;113302
1;113303
1;113304
1;113305
1;113306
1;113307
1;113308
1;113309
1;113310
1;113311
1;113312
1;113313
1;113314
1;113315
1;113732
1;113733
1;113734
1;113735
1;113736
1;113737
1;113738
1;113739
1;113740
1;113741
1;113742
1;113743
1;113744
1;113745
1;113746
1;113747
1;113748
1;113749
1;113750
1;113751
1;113764
1;113765
1;113766
1;113767
1;113768
1;113769
1;113770
1;113771
1;113772
1;113773
1;113774
1;113775
1;113776
1;113777
1;113778
1;113779
1;113780
1;113781
1;113782
1;113783
1;114200
1;114201
1;114202
1;114203
1;114204
1;114205
1;114206
1;114207
1;114208
1;114209
1;114210
1;114211
1;114212
1;114213
1;114214
1;114215
1;114216
1;114217
1;114218
1;114219
1;114232
1;114233
1;114234
1;114235
1;114236
1;114237
1;114238
1;114239
1;114240
1;114241
1;114242
1;114243
1;114244
1;114245
1;114246
1;114247
1;114248
1;114249
1;114250
1;114251
1;114668
1;114669
1;114670
1;114671
1;114672
1;114673
1;114674
1;114675
1;114676
1;114677
1;114678
1;114679
1;114680
1;114681
1;114682
1;114683
1;114684
1;114685
1;114686
1;114687
1;114699
1;114700
1;114701
1;114702
1;114703
1;114704
1;114705
1;114706
1;114707
1;114708
1;114709
1;114710
1;114711
1;114712
1;114713
1;114714
1;114715
1;114716
1;114717
1;114718
1;115137
1;115138
1;115139
1;115140
1;115141
1;115142
1;115143
1;115144
1;115145
1;115146
1;115147
1;115148
1;115149
1;115150
1;115151
1;115152
1;115153
1;115154
1;115155
1;115156
1;115157
1;115158
1;115159
1;115160
1;115161
1;115162
1;115163
1;115164
1;115165
1;115166
1;115167
1;115168
1;115169
1;115170
1;115171
1;115172
